"VPID","BNF","ATC","DDD","DDD_UOMCD"
"40002111000001106","","L01XA02","",""
"40002511000001102","","L01XA02","",""
"40002911000001109","","L01XA02","",""
"40003311000001103","","L01XA02","",""
"40003711000001104","","L01XA02","",""
"40004111000001103","","L01XA02","",""
"40004511000001107","","L01XA02","",""
"40004911000001100","","L01XA02","",""
"40005311000001102","","L01XA02","",""
"40005711000001103","","L01XA02","",""
"40015611000001105","","R01AD59","",""
"40015511000001106","","B02BD06","",""
"40015411000001107","","B02BD06","",""
"39994611000001102","","L01XA02","",""
"39995311000001106","","L01XA02","",""
"39995711000001105","","L01XA02","",""
"39996111000001103","","L01XA02","",""
"39996511000001107","","L01XA02","",""
"39996911000001100","","L01XA02","",""
"39992211000001108","","C07AB02","150","258684004"
"39992411000001107","","C01DX22","",""
"39992511000001106","","C01DX22","",""
"39992311000001100","","C01DX22","",""
"39965211000001101","","","",""
"39965611000001104","","","",""
"39952411000001104","","L01CD02","",""
"39952511000001100","","L01CD02","",""
"39952611000001101","","L01CD02","",""
"39952711000001105","","L01CD02","",""
"39952811000001102","","L01CD02","",""
"39952911000001107","","L01CD02","",""
"39953311000001101","","L01CD02","",""
"39953711000001102","","L01CD02","",""
"39954111000001101","","L01CD02","",""
"39954511000001105","","L01CD02","",""
"39954911000001103","","L01CD02","",""
"39955311000001100","","L01CD02","",""
"39955711000001101","","L01CD02","",""
"39956111000001108","","L01CD02","",""
"39956511000001104","","L01CD02","",""
"39956911000001106","","L01CD02","",""
"39957311000001108","","L01CD02","",""
"39957711000001107","","L01CD02","",""
"39958111000001107","","L01CD02","",""
"39958511000001103","","L01CD02","",""
"39958911000001105","","L01CD02","",""
"39964611000001100","","B06AX01","",""
"39964511000001104","","L01XX27","",""
"39965711000001108","","C01CA09","",""
"39964811000001101","","N06AX21","60","258684004"
"39964711000001109","","N06AX21","60","258684004"
"39965911000001105","","B02AA02","",""
"39965111000001107","","","",""
"39965011000001106","","","",""
"39965811000001100","","D11AH07","",""
"39964911000001106","","G03FA04","",""
"39944811000001106","","","",""
"39945011000001101","","V08AB10","",""
"39940411000001103","","V09IA07","",""
"39944911000001101","","V09IB01","",""
"39945111000001100","","N05CD14","",""
"39934411000001105","","L01EX20","",""
"39934511000001109","","L01EX20","",""
"39934311000001103","","L01EX20","",""
"39934611000001108","","","",""
"39933811000001109","","","",""
"39934011000001101","","H02AB09","30","258684004"
"39934211000001106","","H03AA01","150","258685003"
"39934111000001100","","H02AB09","30","258684004"
"39933911000001104","","H02AB09","30","258684004"
"39909311000001105","","","",""
"39909211000001102","","V09DB01","",""
"39910211000001106","","L03AB15","",""
"39910111000001100","","V09IX01","",""
"39909411000001103","","V09IX01","",""
"39909511000001104","","V09IX01","",""
"39909611000001100","","V09IX01","",""
"39909711000001109","","V09IX01","",""
"39909811000001101","","V09IX01","",""
"39909911000001106","","V09IX01","",""
"39910011000001101","","V09IX01","",""
"39879111000001109","","C01CA17","30","258684004"
"39879211000001103","","V09DX01","",""
"39879411000001104","","","",""
"39878911000001104","","N05CD08","10","258684004"
"39879011000001108","","N05CD08","10","258684004"
"39878711000001101","","","",""
"39879311000001106","","V09GA02","",""
"39878511000001106","","V09AA01","",""
"39878611000001105","","V09AA01","",""
"39878811000001109","","M03BA03","3","258682000"
"39848211000001107","","","",""
"39848311000001104","","L01BA04","",""
"39848411000001106","","N02AX02","300","258684004"
"39832211000001109","","C01DA14","40","258684004"
"39832611000001106","","C10AA07","10","258684004"
"39832311000001101","","C10AA07","10","258684004"
"39832411000001108","","C10AA07","10","258684004"
"39832511000001107","","C10AA07","10","258684004"
"39828011000001104","14040000","","",""
"39832111000001103","","","",""
"39812011000001109","","V10XA01","",""
"39812111000001105","","V10XA01","",""
"39812211000001104","","V10XA01","",""
"39822411000001106","","V10XA01","",""
"39832011000001104","","","",""
"39819711000001100","","N02AX06","400","258684004"
"39819411000001106","","L04AA23","",""
"39819511000001105","","L01BA04","",""
"39818311000001105","","L01CD04","",""
"39818411000001103","","L01CD04","",""
"39819611000001109","","V03AB03","",""
"39818611000001100","","A09AB04","",""
"39819311000001104","","N05AA02","",""
"39819211000001107","","J05AP51","",""
"39819111000001101","","","",""
"39819011000001102","","","",""
"39818511000001104","","L01CD04","",""
"39818211000001102","","N07CA01","24","258684004"
"39818911000001106","","L01EJ02","",""
"39818811000001101","","N05CM18","",""
"39818711000001109","","N05CM18","",""
"39804111000001104","","","",""
"39804611000001107","","A16AX13","",""
"39804311000001102","","L04AC18","",""
"39804411000001109","","L04AC18","",""
"39804211000001105","","V10XX02","",""
"39803911000001103","","N03AX26","",""
"39804511000001108","","A11DA01","50","258684004"
"39804011000001100","","","",""
"39756611000001109","","","",""
"39756711000001100","","","",""
"39722411000001109","","V10XA01","",""
"39723011000001109","","V10XA01","",""
"39724111000001107","","V10XA01","",""
"39724311000001109","","V10XA01","",""
"39725111000001106","","V10XA01","",""
"39725411000001101","","V10XA01","",""
"39726711000001104","","V10XA01","",""
"39726411000001105","","V10XA01","",""
"39727611000001105","","V10XA01","",""
"39727111000001102","","V10XA01","",""
"39728611000001109","","V10XA01","",""
"39728111000001101","","V10XA01","",""
"39729311000001105","","V10XA01","",""
"39729011000001107","","V10XA01","",""
"39730111000001100","","V10XA01","",""
"39729811000001101","","V10XA01","",""
"39730711000001104","","V10XA01","",""
"39731211000001100","","V10XA01","",""
"39735511000001104","","L04AA52","",""
"39675511000001107","","V10XA01","",""
"39676111000001109","","V10XA01","",""
"39676511000001100","","V10XA01","",""
"39677511000001103","","V10XA01","",""
"39676811000001102","","V10XA01","",""
"39678011000001107","","V10XA01","",""
"39677811000001100","","V10XA01","",""
"39679011000001102","","V10XA01","",""
"39678711000001109","","V10XA01","",""
"39679511000001105","","V10XA01","",""
"39680111000001101","","V10XA01","",""
"39680511000001105","","V10XA01","",""
"39680911000001103","","V10XA01","",""
"39681311000001109","","V10XA01","",""
"39682011000001103","","V10XA01","",""
"39682111000001102","","V10XA01","",""
"39683111000001108","","V10XA01","",""
"39683611000001100","","V10XA01","",""
"39684011000001109","","V10XA01","",""
"39684311000001107","","V10XA01","",""
"39685111000001109","","V10XA01","",""
"39685411000001104","","V10XA01","",""
"39686411000001108","","V10XA01","",""
"39686511000001107","","V10XA01","",""
"39687411000001105","","V10XA01","",""
"39687611000001108","","V10XA01","",""
"39688411000001109","","V10XA01","",""
"39688611000001107","","V10XA01","",""
"39689211000001100","","V10XA01","",""
"39666611000001108","","V10XA01","",""
"39668311000001104","","V10XA01","",""
"39668011000001102","","V10XA01","",""
"39668411000001106","","V10XA01","",""
"39668511000001105","","V10XA01","",""
"39668911000001103","","V10XA01","",""
"39669611000001100","","V10XA01","",""
"39669711000001109","","V10XA01","",""
"39670411000001101","","V10XA01","",""
"39670511000001102","","V10XA01","",""
"39671211000001106","","V10XA01","",""
"39671311000001103","","V10XA01","",""
